Datetime,Watts
18-06-2022 - 00:29:27.474,2334
18-06-2022 - 00:29:27.561,2507
18-06-2022 - 00:29:27.810,1974
18-06-2022 - 00:29:28.060,1384
18-06-2022 - 00:29:28.310,920
18-06-2022 - 00:29:28.560,594
18-06-2022 - 00:29:28.810,378
18-06-2022 - 00:29:29.063,237
18-06-2022 - 00:29:29.313,149
18-06-2022 - 00:29:29.559,94
18-06-2022 - 00:29:29.813,60
18-06-2022 - 00:29:30.063,40
18-06-2022 - 00:29:30.313,30
18-06-2022 - 00:29:30.563,28
18-06-2022 - 00:29:30.813,28
18-06-2022 - 00:29:31.063,25
18-06-2022 - 00:29:31.312,24
18-06-2022 - 00:29:31.562,24
18-06-2022 - 00:29:31.812,26
18-06-2022 - 00:29:32.061,25
18-06-2022 - 00:29:32.311,25
18-06-2022 - 00:29:32.566,23
18-06-2022 - 00:29:32.816,24
18-06-2022 - 00:29:33.065,23
18-06-2022 - 00:29:33.315,23
18-06-2022 - 00:29:33.565,24
18-06-2022 - 00:29:33.815,23
18-06-2022 - 00:29:34.065,25
18-06-2022 - 00:29:34.314,27
18-06-2022 - 00:29:34.564,28
18-06-2022 - 00:29:34.819,25
18-06-2022 - 00:29:35.068,25
18-06-2022 - 00:29:35.318,23
18-06-2022 - 00:29:35.568,26
18-06-2022 - 00:29:35.817,26
18-06-2022 - 00:29:36.068,24
18-06-2022 - 00:29:36.318,23
18-06-2022 - 00:29:36.567,24
18-06-2022 - 00:29:36.816,24
18-06-2022 - 00:29:37.067,23
18-06-2022 - 00:29:37.317,27
18-06-2022 - 00:29:37.567,23
18-06-2022 - 00:29:37.820,24
18-06-2022 - 00:29:38.070,25
18-06-2022 - 00:29:38.320,23
18-06-2022 - 00:29:38.570,22
18-06-2022 - 00:29:38.819,24
18-06-2022 - 00:29:39.070,24
18-06-2022 - 00:29:39.320,23
18-06-2022 - 00:29:39.569,24
18-06-2022 - 00:29:39.823,24
18-06-2022 - 00:29:40.073,24
18-06-2022 - 00:29:40.323,25
18-06-2022 - 00:29:40.573,25
18-06-2022 - 00:29:40.822,24
18-06-2022 - 00:29:41.072,27
18-06-2022 - 00:29:41.322,26
18-06-2022 - 00:29:41.572,25
18-06-2022 - 00:29:41.826,25
18-06-2022 - 00:29:42.076,25
18-06-2022 - 00:29:42.326,24
18-06-2022 - 00:29:42.576,23
18-06-2022 - 00:29:42.826,25
18-06-2022 - 00:29:43.075,27
18-06-2022 - 00:29:43.325,23
18-06-2022 - 00:29:43.575,24
18-06-2022 - 00:29:43.824,25
18-06-2022 - 00:29:44.075,24
18-06-2022 - 00:29:44.324,23
18-06-2022 - 00:29:44.574,24
18-06-2022 - 00:29:44.828,25
18-06-2022 - 00:29:45.078,25
18-06-2022 - 00:29:45.328,24
18-06-2022 - 00:29:45.578,24
18-06-2022 - 00:29:45.828,25
18-06-2022 - 00:29:46.078,24
18-06-2022 - 00:29:46.327,28
18-06-2022 - 00:29:46.577,27
18-06-2022 - 00:29:46.831,26
18-06-2022 - 00:29:47.081,24
18-06-2022 - 00:29:47.330,24
18-06-2022 - 00:29:47.580,24
18-06-2022 - 00:29:47.830,22
18-06-2022 - 00:29:48.080,23
18-06-2022 - 00:29:48.330,25
18-06-2022 - 00:29:48.580,25
18-06-2022 - 00:29:48.830,27
18-06-2022 - 00:29:49.079,23
18-06-2022 - 00:29:49.330,22
18-06-2022 - 00:29:49.579,26
18-06-2022 - 00:29:49.833,25
18-06-2022 - 00:29:50.083,25
18-06-2022 - 00:29:50.333,24
18-06-2022 - 00:29:50.582,24
18-06-2022 - 00:29:50.832,24
18-06-2022 - 00:29:51.083,24
18-06-2022 - 00:29:51.332,26
18-06-2022 - 00:29:51.582,27
