Datetime,Watts
22-12-2021 - 11:55:44.515,13
22-12-2021 - 11:55:44.728,13
22-12-2021 - 11:55:44.731,13
22-12-2021 - 11:55:44.734,13
22-12-2021 - 11:55:44.737,13
22-12-2021 - 11:55:44.740,13
22-12-2021 - 11:55:44.742,13
22-12-2021 - 11:55:44.745,13
22-12-2021 - 11:55:44.749,13
22-12-2021 - 11:55:44.751,13
22-12-2021 - 11:55:44.754,13
22-12-2021 - 11:55:44.757,13
22-12-2021 - 11:55:44.759,13
22-12-2021 - 11:55:44.762,13
22-12-2021 - 11:55:44.766,13
22-12-2021 - 11:55:44.769,13
22-12-2021 - 11:55:44.772,13
22-12-2021 - 11:55:44.775,13
22-12-2021 - 11:55:44.778,13
22-12-2021 - 11:55:44.784,13
22-12-2021 - 11:55:44.787,13
22-12-2021 - 11:55:44.791,39
22-12-2021 - 11:55:44.794,61
22-12-2021 - 11:55:44.798,82
22-12-2021 - 11:55:44.802,103
22-12-2021 - 11:55:44.805,124
22-12-2021 - 11:55:44.808,145
22-12-2021 - 11:55:44.812,166
22-12-2021 - 11:55:44.817,188
22-12-2021 - 11:55:44.823,208
22-12-2021 - 11:55:44.835,229
22-12-2021 - 11:55:44.842,317
22-12-2021 - 11:55:44.858,436
22-12-2021 - 11:55:44.865,546
22-12-2021 - 11:55:44.878,651
22-12-2021 - 11:55:44.887,752
22-12-2021 - 11:55:44.898,849
22-12-2021 - 11:55:44.906,942
22-12-2021 - 11:55:44.918,1031
22-12-2021 - 11:55:44.924,1128
22-12-2021 - 11:55:44.940,1220
22-12-2021 - 11:55:44.951,1308
22-12-2021 - 11:55:44.959,1392
22-12-2021 - 11:55:44.974,1471
22-12-2021 - 11:55:44.989,1546
22-12-2021 - 11:55:45.002,1618
22-12-2021 - 11:55:45.010,1686
22-12-2021 - 11:55:45.017,1749
22-12-2021 - 11:55:45.032,1809
22-12-2021 - 11:55:45.039,1866
22-12-2021 - 11:55:45.056,1919
22-12-2021 - 11:55:45.061,1968
22-12-2021 - 11:55:45.078,2015
22-12-2021 - 11:55:45.086,2058
22-12-2021 - 11:55:45.092,2098
22-12-2021 - 11:55:45.108,2135
22-12-2021 - 11:55:45.122,2169
22-12-2021 - 11:55:45.127,2200
22-12-2021 - 11:55:45.143,2229
22-12-2021 - 11:55:45.149,2255
22-12-2021 - 11:55:45.156,2279
22-12-2021 - 11:55:45.167,2300
22-12-2021 - 11:55:45.175,2319
22-12-2021 - 11:55:45.194,2335
22-12-2021 - 11:55:45.201,2350
22-12-2021 - 11:55:45.208,2362
22-12-2021 - 11:55:45.222,2372
22-12-2021 - 11:55:45.227,2381
22-12-2021 - 11:55:45.243,2388
22-12-2021 - 11:55:45.251,2393
22-12-2021 - 11:55:45.257,2396
22-12-2021 - 11:55:45.268,2398
22-12-2021 - 11:55:45.274,2398
22-12-2021 - 11:55:45.290,2397
22-12-2021 - 11:55:45.295,2394
22-12-2021 - 11:55:45.301,2390
22-12-2021 - 11:55:45.316,2385
22-12-2021 - 11:55:45.323,2379
22-12-2021 - 11:55:45.334,2372
22-12-2021 - 11:55:45.341,2363
22-12-2021 - 11:55:45.356,2354
22-12-2021 - 11:55:45.367,2343
22-12-2021 - 11:55:45.374,2332
22-12-2021 - 11:55:45.389,2320
22-12-2021 - 11:55:45.400,2307
22-12-2021 - 11:55:45.408,2293
22-12-2021 - 11:55:45.423,2279
22-12-2021 - 11:55:45.435,2264
22-12-2021 - 11:55:45.441,2248
22-12-2021 - 11:55:45.457,2232
22-12-2021 - 11:55:45.468,2215
22-12-2021 - 11:55:45.474,2198
22-12-2021 - 11:55:45.489,2180
22-12-2021 - 11:55:45.494,2162
22-12-2021 - 11:55:45.510,2144
22-12-2021 - 11:55:45.516,2125
22-12-2021 - 11:55:45.526,2105
22-12-2021 - 11:55:45.534,2086
22-12-2021 - 11:55:45.540,2066
22-12-2021 - 11:55:45.551,2046
22-12-2021 - 11:55:45.558,2025
22-12-2021 - 11:55:45.574,2005
22-12-2021 - 11:55:45.588,1984
22-12-2021 - 11:55:45.594,1963
22-12-2021 - 11:55:45.610,1942
22-12-2021 - 11:55:45.617,1921
22-12-2021 - 11:55:45.622,1900
22-12-2021 - 11:55:45.633,1879
22-12-2021 - 11:55:45.640,1857
22-12-2021 - 11:55:45.648,1836
22-12-2021 - 11:55:45.661,1814
22-12-2021 - 11:55:45.668,1793
22-12-2021 - 11:55:45.674,1771
22-12-2021 - 11:55:45.689,1750
22-12-2021 - 11:55:45.694,1728
22-12-2021 - 11:55:45.710,1707
22-12-2021 - 11:55:45.719,1686
22-12-2021 - 11:55:45.724,1664
22-12-2021 - 11:55:45.739,1643
22-12-2021 - 11:55:45.745,1622
22-12-2021 - 11:55:45.761,1601
22-12-2021 - 11:55:45.768,1580
22-12-2021 - 11:55:45.774,1559
22-12-2021 - 11:55:45.782,1538
22-12-2021 - 11:55:45.795,1518
22-12-2021 - 11:55:45.805,1497
22-12-2021 - 11:55:45.812,1477
22-12-2021 - 11:55:45.828,1457
22-12-2021 - 11:55:45.836,1437
22-12-2021 - 11:55:45.842,1417
22-12-2021 - 11:55:45.860,1397
22-12-2021 - 11:55:45.871,1377
22-12-2021 - 11:55:45.878,1358
22-12-2021 - 11:55:45.886,1339
22-12-2021 - 11:55:45.902,1319
22-12-2021 - 11:55:45.911,1301
22-12-2021 - 11:55:45.928,1282
22-12-2021 - 11:55:45.940,1263
22-12-2021 - 11:55:45.947,1245
22-12-2021 - 11:55:45.965,1227
22-12-2021 - 11:55:45.975,1209
22-12-2021 - 11:55:45.983,1191
22-12-2021 - 11:55:45.988,1173
22-12-2021 - 11:55:45.993,1156
22-12-2021 - 11:55:46.009,1139
22-12-2021 - 11:55:46.015,1121
22-12-2021 - 11:55:46.033,1105
22-12-2021 - 11:55:46.044,1088
22-12-2021 - 11:55:46.051,1071
22-12-2021 - 11:55:46.057,1055
22-12-2021 - 11:55:46.073,1039
22-12-2021 - 11:55:46.077,1023
22-12-2021 - 11:55:46.097,1007
22-12-2021 - 11:55:46.111,992
22-12-2021 - 11:55:46.120,978
22-12-2021 - 11:55:46.126,965
22-12-2021 - 11:55:46.141,951
22-12-2021 - 11:55:46.151,938
22-12-2021 - 11:55:46.157,925
22-12-2021 - 11:55:46.172,912
22-12-2021 - 11:55:46.177,900
22-12-2021 - 11:55:46.193,887
22-12-2021 - 11:55:46.201,875
22-12-2021 - 11:55:46.214,862
22-12-2021 - 11:55:46.220,850
22-12-2021 - 11:55:46.231,838
22-12-2021 - 11:55:46.237,826
22-12-2021 - 11:55:46.243,815
22-12-2021 - 11:55:46.258,803
22-12-2021 - 11:55:46.264,792
22-12-2021 - 11:55:46.278,780
22-12-2021 - 11:55:46.284,769
22-12-2021 - 11:55:46.289,758
22-12-2021 - 11:55:46.295,748
22-12-2021 - 11:55:46.310,737
22-12-2021 - 11:55:46.318,726
22-12-2021 - 11:55:46.323,716
22-12-2021 - 11:55:46.334,705
22-12-2021 - 11:55:46.340,695
22-12-2021 - 11:55:46.345,685
22-12-2021 - 11:55:46.361,675
22-12-2021 - 11:55:46.367,666
22-12-2021 - 11:55:46.378,656
22-12-2021 - 11:55:46.385,646
22-12-2021 - 11:55:46.397,637
22-12-2021 - 11:55:46.403,628
22-12-2021 - 11:55:46.416,618
22-12-2021 - 11:55:46.421,609
22-12-2021 - 11:55:46.426,600
22-12-2021 - 11:55:46.443,592
22-12-2021 - 11:55:46.449,583
22-12-2021 - 11:55:46.461,574
22-12-2021 - 11:55:46.468,566
22-12-2021 - 11:55:46.480,558
22-12-2021 - 11:55:46.487,549
22-12-2021 - 11:55:46.492,541
22-12-2021 - 11:55:46.509,533
22-12-2021 - 11:55:46.514,525
22-12-2021 - 11:55:46.527,517
22-12-2021 - 11:55:46.534,510
22-12-2021 - 11:55:46.544,502
22-12-2021 - 11:55:46.550,495
22-12-2021 - 11:55:46.559,487
22-12-2021 - 11:55:46.565,480
22-12-2021 - 11:55:46.580,473
22-12-2021 - 11:55:46.587,466
22-12-2021 - 11:55:46.603,459
22-12-2021 - 11:55:46.618,452
22-12-2021 - 11:55:46.626,445
22-12-2021 - 11:55:46.642,439
22-12-2021 - 11:55:46.648,432
22-12-2021 - 11:55:46.661,425
22-12-2021 - 11:55:46.668,419
22-12-2021 - 11:55:46.679,413
22-12-2021 - 11:55:46.685,407
22-12-2021 - 11:55:46.690,400
22-12-2021 - 11:55:46.695,394
22-12-2021 - 11:55:46.711,388
22-12-2021 - 11:55:46.719,383
22-12-2021 - 11:55:46.724,377
22-12-2021 - 11:55:46.740,371
22-12-2021 - 11:55:46.746,365
22-12-2021 - 11:55:46.752,360
22-12-2021 - 11:55:46.766,354
22-12-2021 - 11:55:46.773,349
22-12-2021 - 11:55:46.778,344
22-12-2021 - 11:55:46.793,339
22-12-2021 - 11:55:46.800,333
22-12-2021 - 11:55:46.816,328
22-12-2021 - 11:55:46.822,323
22-12-2021 - 11:55:46.827,318
22-12-2021 - 11:55:46.842,314
22-12-2021 - 11:55:46.849,309
22-12-2021 - 11:55:46.862,304
22-12-2021 - 11:55:46.869,299
22-12-2021 - 11:55:46.874,295
22-12-2021 - 11:55:46.890,290
22-12-2021 - 11:55:46.902,286
22-12-2021 - 11:55:46.908,282
22-12-2021 - 11:55:46.924,277
22-12-2021 - 11:55:46.929,273
22-12-2021 - 11:55:46.935,269
22-12-2021 - 11:55:46.950,265
22-12-2021 - 11:55:46.956,261
22-12-2021 - 11:55:46.961,257
22-12-2021 - 11:55:46.977,253
22-12-2021 - 11:55:46.983,249
22-12-2021 - 11:55:46.994,245
22-12-2021 - 11:55:47.001,241
22-12-2021 - 11:55:47.007,237
22-12-2021 - 11:55:47.025,234
22-12-2021 - 11:55:47.031,230
22-12-2021 - 11:55:47.046,227
22-12-2021 - 11:55:47.051,223
22-12-2021 - 11:55:47.057,220
22-12-2021 - 11:55:47.067,216
22-12-2021 - 11:55:47.073,213
22-12-2021 - 11:55:47.080,210
22-12-2021 - 11:55:47.093,206
22-12-2021 - 11:55:47.099,203
22-12-2021 - 11:55:47.112,200
22-12-2021 - 11:55:47.119,197
22-12-2021 - 11:55:47.129,194
22-12-2021 - 11:55:47.135,191
22-12-2021 - 11:55:47.140,188
22-12-2021 - 11:55:47.146,185
22-12-2021 - 11:55:47.152,182
22-12-2021 - 11:55:47.167,179
22-12-2021 - 11:55:47.173,177
22-12-2021 - 11:55:47.180,174
22-12-2021 - 11:55:47.196,171
22-12-2021 - 11:55:47.202,168
22-12-2021 - 11:55:47.208,166
22-12-2021 - 11:55:47.224,163
22-12-2021 - 11:55:47.232,161
22-12-2021 - 11:55:47.244,158
22-12-2021 - 11:55:47.251,156
22-12-2021 - 11:55:47.256,153
22-12-2021 - 11:55:47.271,151
22-12-2021 - 11:55:47.282,149
22-12-2021 - 11:55:47.288,146
22-12-2021 - 11:55:47.300,144
22-12-2021 - 11:55:47.308,142
22-12-2021 - 11:55:47.323,140
22-12-2021 - 11:55:47.337,137
22-12-2021 - 11:55:47.341,135
22-12-2021 - 11:55:47.347,133
22-12-2021 - 11:55:47.362,131
22-12-2021 - 11:55:47.368,129
22-12-2021 - 11:55:47.373,127
22-12-2021 - 11:55:47.389,125
22-12-2021 - 11:55:47.399,123
22-12-2021 - 11:55:47.405,121
22-12-2021 - 11:55:47.419,119
22-12-2021 - 11:55:47.425,117
22-12-2021 - 11:55:47.432,116
22-12-2021 - 11:55:47.447,114
22-12-2021 - 11:55:47.453,112
22-12-2021 - 11:55:47.458,110
22-12-2021 - 11:55:47.474,109
22-12-2021 - 11:55:47.479,107
22-12-2021 - 11:55:47.491,105
22-12-2021 - 11:55:47.499,104
22-12-2021 - 11:55:47.510,102
22-12-2021 - 11:55:47.518,100
22-12-2021 - 11:55:47.524,99
22-12-2021 - 11:55:47.539,97
22-12-2021 - 11:55:47.553,96
22-12-2021 - 11:55:47.558,95
22-12-2021 - 11:55:47.573,93
22-12-2021 - 11:55:47.580,92
22-12-2021 - 11:55:47.591,91
22-12-2021 - 11:55:47.599,90
22-12-2021 - 11:55:47.610,88
22-12-2021 - 11:55:47.617,87
22-12-2021 - 11:55:47.629,86
22-12-2021 - 11:55:47.635,85
22-12-2021 - 11:55:47.646,84
22-12-2021 - 11:55:47.652,83
22-12-2021 - 11:55:47.658,81
22-12-2021 - 11:55:47.674,80
22-12-2021 - 11:55:47.680,79
