Datetime,Watts
18-06-2022 - 14:53:09.998,2203
18-06-2022 - 14:53:10.060,2366
18-06-2022 - 14:53:10.326,1863
18-06-2022 - 14:53:10.561,1307
18-06-2022 - 14:53:10.818,868
18-06-2022 - 14:53:11.068,561
18-06-2022 - 14:53:11.318,356
18-06-2022 - 14:53:11.568,224
18-06-2022 - 14:53:11.818,140
18-06-2022 - 14:53:12.068,87
18-06-2022 - 14:53:12.318,55
18-06-2022 - 14:53:12.568,35
18-06-2022 - 14:53:12.818,23
18-06-2022 - 14:53:13.068,16
18-06-2022 - 14:53:13.320,12
18-06-2022 - 14:53:13.570,12
18-06-2022 - 14:53:13.820,11
18-06-2022 - 14:53:14.070,10
18-06-2022 - 14:53:14.320,12
18-06-2022 - 14:53:14.570,8
18-06-2022 - 14:53:14.820,9
18-06-2022 - 14:53:15.070,11
18-06-2022 - 14:53:15.320,11
18-06-2022 - 14:53:15.570,12
18-06-2022 - 14:53:15.820,13
18-06-2022 - 14:53:16.070,13
18-06-2022 - 14:53:16.320,12
18-06-2022 - 14:53:16.570,11
18-06-2022 - 14:53:16.820,12
18-06-2022 - 14:53:17.069,11
18-06-2022 - 14:53:17.319,11
18-06-2022 - 14:53:17.569,12
18-06-2022 - 14:53:17.819,11
18-06-2022 - 14:53:18.069,9
18-06-2022 - 14:53:18.319,11
18-06-2022 - 14:53:18.575,8
18-06-2022 - 14:53:18.825,11
18-06-2022 - 14:53:19.075,12
18-06-2022 - 14:53:19.325,9
18-06-2022 - 14:53:19.575,13
18-06-2022 - 14:53:19.825,13
18-06-2022 - 14:53:20.074,14
18-06-2022 - 14:53:20.324,12
18-06-2022 - 14:53:20.574,12
18-06-2022 - 14:53:20.824,13
18-06-2022 - 14:53:21.074,13
18-06-2022 - 14:53:21.324,12
18-06-2022 - 14:53:21.574,13
18-06-2022 - 14:53:21.824,14
18-06-2022 - 14:53:22.074,12
18-06-2022 - 14:53:22.324,12
18-06-2022 - 14:53:22.574,13
18-06-2022 - 14:53:22.824,14
18-06-2022 - 14:53:23.074,22
18-06-2022 - 14:53:23.339,25
18-06-2022 - 14:53:23.589,27
18-06-2022 - 14:53:23.839,26
18-06-2022 - 14:53:24.089,20
18-06-2022 - 14:53:24.339,16
18-06-2022 - 14:53:24.589,15
18-06-2022 - 14:53:24.839,16
18-06-2022 - 14:53:25.084,15
18-06-2022 - 14:53:25.333,13
18-06-2022 - 14:53:25.583,19
18-06-2022 - 14:53:25.833,21
18-06-2022 - 14:53:26.083,19
18-06-2022 - 14:53:26.333,18
18-06-2022 - 14:53:26.583,15
18-06-2022 - 14:53:26.833,53
18-06-2022 - 14:53:27.077,51
18-06-2022 - 14:53:27.327,50
18-06-2022 - 14:53:27.577,39
18-06-2022 - 14:53:27.827,28
18-06-2022 - 14:53:28.077,22
18-06-2022 - 14:53:28.327,34
18-06-2022 - 14:53:28.577,33
18-06-2022 - 14:53:28.842,26
18-06-2022 - 14:53:29.092,28
