Datetime,Watts
21-05-2022 - 23:09:12.371,2257
21-05-2022 - 23:09:12.455,2425
21-05-2022 - 23:09:12.704,1910
21-05-2022 - 23:09:12.955,1339
21-05-2022 - 23:09:13.204,889
21-05-2022 - 23:09:13.454,574
21-05-2022 - 23:09:13.704,365
21-05-2022 - 23:09:13.954,229
21-05-2022 - 23:09:14.208,143
21-05-2022 - 23:09:14.454,89
21-05-2022 - 23:09:14.704,55
21-05-2022 - 23:09:14.958,35
21-05-2022 - 23:09:15.207,22
21-05-2022 - 23:09:15.457,14
21-05-2022 - 23:09:15.706,11
21-05-2022 - 23:09:15.956,9
21-05-2022 - 23:09:16.207,10
21-05-2022 - 23:09:16.457,9
21-05-2022 - 23:09:16.706,9
21-05-2022 - 23:09:16.956,6
21-05-2022 - 23:09:17.205,6
21-05-2022 - 23:09:17.460,7
21-05-2022 - 23:09:17.709,6
21-05-2022 - 23:09:17.959,8
21-05-2022 - 23:09:18.209,10
21-05-2022 - 23:09:18.458,11
21-05-2022 - 23:09:18.709,8
21-05-2022 - 23:09:18.959,8
21-05-2022 - 23:09:19.212,11
21-05-2022 - 23:09:19.463,15
21-05-2022 - 23:09:19.713,18
21-05-2022 - 23:09:19.963,17
21-05-2022 - 23:09:20.212,19
21-05-2022 - 23:09:20.462,19
21-05-2022 - 23:09:20.712,19
21-05-2022 - 23:09:20.962,20
21-05-2022 - 23:09:21.216,19
21-05-2022 - 23:09:21.465,19
21-05-2022 - 23:09:21.715,18
21-05-2022 - 23:09:21.965,17
21-05-2022 - 23:09:22.215,18
21-05-2022 - 23:09:22.465,18
21-05-2022 - 23:09:22.715,19
21-05-2022 - 23:09:22.965,19
21-05-2022 - 23:09:23.214,21
21-05-2022 - 23:09:23.465,20
21-05-2022 - 23:09:23.714,19
21-05-2022 - 23:09:23.968,20
21-05-2022 - 23:09:24.218,20
21-05-2022 - 23:09:24.468,18
21-05-2022 - 23:09:24.717,20
21-05-2022 - 23:09:24.967,20
21-05-2022 - 23:09:25.217,18
21-05-2022 - 23:09:25.466,17
21-05-2022 - 23:09:25.717,19
21-05-2022 - 23:09:25.966,19
21-05-2022 - 23:09:26.221,20
21-05-2022 - 23:09:26.470,19
21-05-2022 - 23:09:26.720,19
21-05-2022 - 23:09:26.969,18
21-05-2022 - 23:09:27.220,17
21-05-2022 - 23:09:27.470,18
21-05-2022 - 23:09:27.719,19
21-05-2022 - 23:09:27.969,19
21-05-2022 - 23:09:28.223,19
21-05-2022 - 23:09:28.473,20
21-05-2022 - 23:09:28.722,19
21-05-2022 - 23:09:28.973,19
21-05-2022 - 23:09:29.223,18
21-05-2022 - 23:09:29.472,18
21-05-2022 - 23:09:29.723,18
21-05-2022 - 23:09:29.973,20
21-05-2022 - 23:09:30.226,19
21-05-2022 - 23:09:30.476,18
21-05-2022 - 23:09:30.725,20
21-05-2022 - 23:09:30.975,20
21-05-2022 - 23:09:31.225,19
21-05-2022 - 23:09:31.475,20
21-05-2022 - 23:09:31.725,20
21-05-2022 - 23:09:31.975,19
21-05-2022 - 23:09:32.225,17
21-05-2022 - 23:09:32.478,18
21-05-2022 - 23:09:32.729,18
21-05-2022 - 23:09:32.978,18
21-05-2022 - 23:09:33.228,19
21-05-2022 - 23:09:33.478,18
21-05-2022 - 23:09:33.728,18
21-05-2022 - 23:09:33.978,17
