Datetime,Watts
18-06-2022 - 11:15:07.003,2279
18-06-2022 - 11:15:07.082,2448
18-06-2022 - 11:15:07.332,1927
18-06-2022 - 11:15:07.581,1351
18-06-2022 - 11:15:07.831,897
18-06-2022 - 11:15:08.082,579
18-06-2022 - 11:15:08.329,367
18-06-2022 - 11:15:08.579,231
18-06-2022 - 11:15:08.829,144
18-06-2022 - 11:15:09.088,90
18-06-2022 - 11:15:09.338,57
18-06-2022 - 11:15:09.588,36
18-06-2022 - 11:15:09.838,23
18-06-2022 - 11:15:10.088,13
18-06-2022 - 11:15:10.338,13
18-06-2022 - 11:15:10.588,14
18-06-2022 - 11:15:10.838,14
18-06-2022 - 11:15:11.072,13
18-06-2022 - 11:15:11.322,11
18-06-2022 - 11:15:11.588,11
18-06-2022 - 11:15:11.838,12
18-06-2022 - 11:15:12.088,14
18-06-2022 - 11:15:12.338,12
18-06-2022 - 11:15:12.588,14
18-06-2022 - 11:15:12.838,14
18-06-2022 - 11:15:13.087,14
18-06-2022 - 11:15:13.337,10
18-06-2022 - 11:15:13.587,13
18-06-2022 - 11:15:13.837,13
18-06-2022 - 11:15:14.087,14
18-06-2022 - 11:15:14.337,12
18-06-2022 - 11:15:14.587,15
18-06-2022 - 11:15:14.837,15
18-06-2022 - 11:15:15.087,16
18-06-2022 - 11:15:15.337,14
18-06-2022 - 11:15:15.587,13
18-06-2022 - 11:15:15.837,10
18-06-2022 - 11:15:16.087,9
18-06-2022 - 11:15:16.337,14
18-06-2022 - 11:15:16.587,10
18-06-2022 - 11:15:16.837,7
18-06-2022 - 11:15:17.087,10
18-06-2022 - 11:15:17.336,11
18-06-2022 - 11:15:17.587,11
18-06-2022 - 11:15:17.836,12
18-06-2022 - 11:15:18.086,14
18-06-2022 - 11:15:18.336,14
18-06-2022 - 11:15:18.586,11
18-06-2022 - 11:15:18.836,10
18-06-2022 - 11:15:19.086,15
18-06-2022 - 11:15:19.336,12
18-06-2022 - 11:15:19.586,14
18-06-2022 - 11:15:19.836,13
18-06-2022 - 11:15:20.086,12
18-06-2022 - 11:15:20.336,8
18-06-2022 - 11:15:20.586,10
18-06-2022 - 11:15:20.836,14
18-06-2022 - 11:15:21.101,11
18-06-2022 - 11:15:21.351,14
18-06-2022 - 11:15:21.601,12
18-06-2022 - 11:15:21.851,12
18-06-2022 - 11:15:22.101,10
18-06-2022 - 11:15:22.351,12
18-06-2022 - 11:15:22.601,13
18-06-2022 - 11:15:22.851,12
18-06-2022 - 11:15:23.101,12
18-06-2022 - 11:15:23.351,14
18-06-2022 - 11:15:23.601,15
18-06-2022 - 11:15:23.850,11
18-06-2022 - 11:15:24.101,10
18-06-2022 - 11:15:24.350,8
18-06-2022 - 11:15:24.600,13
18-06-2022 - 11:15:24.850,9
18-06-2022 - 11:15:25.100,4
18-06-2022 - 11:15:25.350,11
18-06-2022 - 11:15:25.600,13
18-06-2022 - 11:15:25.850,10
18-06-2022 - 11:15:26.100,13
18-06-2022 - 11:15:26.350,14
18-06-2022 - 11:15:26.600,13
18-06-2022 - 11:15:26.850,14
18-06-2022 - 11:15:27.100,14
18-06-2022 - 11:15:27.350,11
18-06-2022 - 11:15:27.600,14
18-06-2022 - 11:15:27.850,12
18-06-2022 - 11:15:28.100,10
18-06-2022 - 11:15:28.350,4
18-06-2022 - 11:15:28.600,8
18-06-2022 - 11:15:28.849,14
18-06-2022 - 11:15:29.099,13
18-06-2022 - 11:15:29.349,14
18-06-2022 - 11:15:29.599,14
18-06-2022 - 11:15:29.849,11
18-06-2022 - 11:15:30.099,14
18-06-2022 - 11:15:30.349,9
18-06-2022 - 11:15:30.599,6
18-06-2022 - 11:15:30.849,14
18-06-2022 - 11:15:31.099,17
18-06-2022 - 11:15:31.349,14
18-06-2022 - 11:15:31.599,14
18-06-2022 - 11:15:31.849,11
18-06-2022 - 11:15:32.099,12
18-06-2022 - 11:15:32.349,13
18-06-2022 - 11:15:32.614,14
18-06-2022 - 11:15:32.864,11
18-06-2022 - 11:15:33.114,10
18-06-2022 - 11:15:33.364,9
18-06-2022 - 11:15:33.614,11
18-06-2022 - 11:15:33.864,12
18-06-2022 - 11:15:34.114,12
18-06-2022 - 11:15:34.364,14
18-06-2022 - 11:15:34.614,15
18-06-2022 - 11:15:34.864,13
18-06-2022 - 11:15:35.113,13
18-06-2022 - 11:15:35.363,14
18-06-2022 - 11:15:35.613,13
18-06-2022 - 11:15:35.863,13
18-06-2022 - 11:15:36.113,7
18-06-2022 - 11:15:36.363,5
18-06-2022 - 11:15:36.613,8
18-06-2022 - 11:15:36.863,9
18-06-2022 - 11:15:37.113,14
18-06-2022 - 11:15:37.363,8
18-06-2022 - 11:15:37.613,9
18-06-2022 - 11:15:37.863,12
18-06-2022 - 11:15:38.113,9
18-06-2022 - 11:15:38.363,4
18-06-2022 - 11:15:38.613,0
18-06-2022 - 11:15:38.863,9
18-06-2022 - 11:15:39.113,12
18-06-2022 - 11:15:39.363,15
18-06-2022 - 11:15:39.613,14
18-06-2022 - 11:15:39.862,14
18-06-2022 - 11:15:40.112,14
18-06-2022 - 11:15:40.362,14
18-06-2022 - 11:15:40.612,11
18-06-2022 - 11:15:40.862,15
18-06-2022 - 11:15:41.112,12
18-06-2022 - 11:15:41.366,16
18-06-2022 - 11:15:41.619,14
18-06-2022 - 11:15:41.859,12
18-06-2022 - 11:15:42.121,9
18-06-2022 - 11:15:42.368,0
18-06-2022 - 11:15:42.619,5
18-06-2022 - 11:15:42.871,5
18-06-2022 - 11:15:43.112,5
18-06-2022 - 11:15:43.371,8
18-06-2022 - 11:15:43.624,13
18-06-2022 - 11:15:43.870,12
18-06-2022 - 11:15:44.116,5
18-06-2022 - 11:15:44.373,9
18-06-2022 - 11:15:44.618,7
18-06-2022 - 11:15:44.875,12
