Datetime,Watts
21-05-2022 - 23:27:54.557,2260
21-05-2022 - 23:27:54.561,2426
21-05-2022 - 23:27:54.564,1912
21-05-2022 - 23:27:54.567,1340
21-05-2022 - 23:27:54.570,890
21-05-2022 - 23:27:54.572,575
21-05-2022 - 23:27:54.575,365
21-05-2022 - 23:27:54.578,230
21-05-2022 - 23:27:54.582,144
21-05-2022 - 23:27:54.586,91
21-05-2022 - 23:27:54.590,58
21-05-2022 - 23:27:54.594,39
21-05-2022 - 23:27:54.607,28
21-05-2022 - 23:27:54.647,23
21-05-2022 - 23:27:54.900,21
21-05-2022 - 23:27:55.150,20
21-05-2022 - 23:27:55.400,19
21-05-2022 - 23:27:55.650,19
21-05-2022 - 23:27:55.900,19
21-05-2022 - 23:27:56.150,19
21-05-2022 - 23:27:56.400,19
21-05-2022 - 23:27:56.653,19
21-05-2022 - 23:27:56.904,20
21-05-2022 - 23:27:57.153,20
21-05-2022 - 23:27:57.403,21
21-05-2022 - 23:27:57.653,21
21-05-2022 - 23:27:57.902,21
21-05-2022 - 23:27:58.153,21
21-05-2022 - 23:27:58.402,20
21-05-2022 - 23:27:58.652,20
21-05-2022 - 23:27:58.902,19
21-05-2022 - 23:27:59.152,21
21-05-2022 - 23:27:59.401,20
21-05-2022 - 23:27:59.655,20
21-05-2022 - 23:27:59.905,20
21-05-2022 - 23:28:00.155,21
21-05-2022 - 23:28:00.405,20
21-05-2022 - 23:28:00.655,20
21-05-2022 - 23:28:00.905,20
21-05-2022 - 23:28:01.155,20
21-05-2022 - 23:28:01.404,21
21-05-2022 - 23:28:01.658,20
21-05-2022 - 23:28:01.908,20
21-05-2022 - 23:28:02.158,20
21-05-2022 - 23:28:02.408,20
21-05-2022 - 23:28:02.658,20
21-05-2022 - 23:28:02.908,20
21-05-2022 - 23:28:03.158,19
21-05-2022 - 23:28:03.407,20
21-05-2022 - 23:28:03.657,18
21-05-2022 - 23:28:03.912,18
21-05-2022 - 23:28:04.161,19
21-05-2022 - 23:28:04.411,18
21-05-2022 - 23:28:04.660,19
21-05-2022 - 23:28:04.911,19
21-05-2022 - 23:28:05.161,20
21-05-2022 - 23:28:05.410,20
21-05-2022 - 23:28:05.664,19
21-05-2022 - 23:28:05.914,19
21-05-2022 - 23:28:06.164,19
21-05-2022 - 23:28:06.413,18
21-05-2022 - 23:28:06.664,19
21-05-2022 - 23:28:06.914,18
21-05-2022 - 23:28:07.163,19
21-05-2022 - 23:28:07.413,20
21-05-2022 - 23:28:07.667,19
21-05-2022 - 23:28:07.917,19
21-05-2022 - 23:28:08.166,20
21-05-2022 - 23:28:08.416,19
21-05-2022 - 23:28:08.666,19
21-05-2022 - 23:28:08.916,19
21-05-2022 - 23:28:09.166,20
21-05-2022 - 23:28:09.416,19
21-05-2022 - 23:28:09.666,19
21-05-2022 - 23:28:09.915,20
21-05-2022 - 23:28:10.169,19
21-05-2022 - 23:28:10.419,19
21-05-2022 - 23:28:10.669,20
21-05-2022 - 23:28:10.919,20
21-05-2022 - 23:28:11.168,19
21-05-2022 - 23:28:11.418,19
21-05-2022 - 23:28:11.669,19
21-05-2022 - 23:28:11.918,19
21-05-2022 - 23:28:12.168,20
21-05-2022 - 23:28:12.423,19
21-05-2022 - 23:28:12.672,21
21-05-2022 - 23:28:12.922,20
21-05-2022 - 23:28:13.171,19
21-05-2022 - 23:28:13.421,19
21-05-2022 - 23:28:13.671,19
21-05-2022 - 23:28:13.921,20
21-05-2022 - 23:28:14.171,20
21-05-2022 - 23:28:14.425,19
21-05-2022 - 23:28:14.675,19
21-05-2022 - 23:28:14.925,20
21-05-2022 - 23:28:15.174,20
21-05-2022 - 23:28:15.424,19
21-05-2022 - 23:28:15.674,19
21-05-2022 - 23:28:15.924,19
21-05-2022 - 23:28:16.174,19
21-05-2022 - 23:28:16.424,20
21-05-2022 - 23:28:16.678,20
21-05-2022 - 23:28:16.927,19
21-05-2022 - 23:28:17.178,20
21-05-2022 - 23:28:17.427,19
21-05-2022 - 23:28:17.677,20
21-05-2022 - 23:28:17.926,20
21-05-2022 - 23:28:18.177,20
21-05-2022 - 23:28:18.427,20
21-05-2022 - 23:28:18.680,19
21-05-2022 - 23:28:18.930,19
21-05-2022 - 23:28:19.180,20
21-05-2022 - 23:28:19.430,19
21-05-2022 - 23:28:19.680,20
21-05-2022 - 23:28:19.930,19
21-05-2022 - 23:28:20.179,19
21-05-2022 - 23:28:20.429,20
21-05-2022 - 23:28:20.678,19
21-05-2022 - 23:28:20.929,20
21-05-2022 - 23:28:21.179,20
21-05-2022 - 23:28:21.429,20
21-05-2022 - 23:28:21.682,20
21-05-2022 - 23:28:21.933,19
21-05-2022 - 23:28:22.182,20
21-05-2022 - 23:28:22.432,19
21-05-2022 - 23:28:22.682,20
21-05-2022 - 23:28:22.932,20
21-05-2022 - 23:28:23.182,20
21-05-2022 - 23:28:23.432,19
21-05-2022 - 23:28:23.685,19
