Datetime,Watts
17-06-2022 - 22:11:25.798,2273
17-06-2022 - 22:11:25.820,2442
17-06-2022 - 22:11:25.823,1923
17-06-2022 - 22:11:25.825,1348
17-06-2022 - 22:11:25.828,895
17-06-2022 - 22:11:25.830,578
17-06-2022 - 22:11:25.833,367
17-06-2022 - 22:11:25.835,230
17-06-2022 - 22:11:25.837,144
17-06-2022 - 22:11:25.839,89
17-06-2022 - 22:11:25.843,56
17-06-2022 - 22:11:25.846,36
17-06-2022 - 22:11:25.850,26
17-06-2022 - 22:11:25.856,21
17-06-2022 - 22:11:25.874,19
17-06-2022 - 22:11:25.882,18
17-06-2022 - 22:11:25.894,17
17-06-2022 - 22:11:25.903,17
17-06-2022 - 22:11:25.913,18
17-06-2022 - 22:11:25.922,17
17-06-2022 - 22:11:25.940,17
17-06-2022 - 22:11:25.946,19
17-06-2022 - 22:11:25.968,19
17-06-2022 - 22:11:25.977,18
17-06-2022 - 22:11:25.985,20
17-06-2022 - 22:11:26.001,19
17-06-2022 - 22:11:26.017,18
17-06-2022 - 22:11:26.024,18
17-06-2022 - 22:11:26.032,18
17-06-2022 - 22:11:26.050,17
17-06-2022 - 22:11:26.058,17
17-06-2022 - 22:11:26.067,17
17-06-2022 - 22:11:26.082,18
17-06-2022 - 22:11:26.090,17
17-06-2022 - 22:11:26.098,17
17-06-2022 - 22:11:26.114,17
17-06-2022 - 22:11:26.121,17
17-06-2022 - 22:11:26.128,18
17-06-2022 - 22:11:26.135,18
17-06-2022 - 22:11:26.150,18
17-06-2022 - 22:11:26.167,19
17-06-2022 - 22:11:26.177,19
17-06-2022 - 22:11:26.187,19
17-06-2022 - 22:11:26.194,19
17-06-2022 - 22:11:26.204,19
17-06-2022 - 22:11:26.211,18
17-06-2022 - 22:11:26.221,17
17-06-2022 - 22:11:26.230,16
17-06-2022 - 22:11:26.239,17
17-06-2022 - 22:11:26.249,17
17-06-2022 - 22:11:26.266,18
17-06-2022 - 22:11:26.287,19
17-06-2022 - 22:11:26.294,18
17-06-2022 - 22:11:26.303,19
17-06-2022 - 22:11:26.320,19
17-06-2022 - 22:11:26.349,20
17-06-2022 - 22:11:26.599,20
17-06-2022 - 22:11:26.852,18
17-06-2022 - 22:11:27.102,18
17-06-2022 - 22:11:27.353,20
17-06-2022 - 22:11:27.602,18
17-06-2022 - 22:11:27.852,18
17-06-2022 - 22:11:28.102,17
17-06-2022 - 22:11:28.351,16
